link_id,site_id,slope_iFLS_mean,slope_HAiFLS_mean,slope_iFLO_mean,slope_HAiFLO_mean,slope_lumped_mean,slope_HAiFLO_sd,slope_HAiFLS_sd,slope_iFLO_sd,slope_iFLS_sd,slope_lumped_sd,slope_lumped_min,slope_lumped_max,LC_1_iFLS_prop,LC_1_HAiFLS_prop,LC_1_iFLO_prop,LC_1_HAiFLO_prop,LC_1_lumped_prop,LC_2_iFLS_prop,LC_2_HAiFLS_prop,LC_2_iFLO_prop,LC_2_HAiFLO_prop,LC_2_lumped_prop,LC_3_iFLS_prop,LC_3_HAiFLS_prop,LC_3_iFLO_prop,LC_3_HAiFLO_prop,LC_3_lumped_prop,LC_4_iFLS_prop,LC_4_HAiFLS_prop,LC_4_iFLO_prop,LC_4_HAiFLO_prop,LC_4_lumped_prop,LC_5_iFLS_prop,LC_5_HAiFLS_prop,LC_5_iFLO_prop,LC_5_HAiFLO_prop,LC_5_lumped_prop,LC_6_iFLS_prop,LC_6_HAiFLS_prop,LC_6_iFLO_prop,LC_6_HAiFLO_prop,LC_6_lumped_prop,LC_7_iFLS_prop,LC_7_HAiFLS_prop,LC_7_iFLO_prop,LC_7_HAiFLO_prop,LC_7_lumped_prop,GEO_NAME_CZam_iFLS_prop,GEO_NAME_CZam_HAiFLS_prop,GEO_NAME_CZam_iFLO_prop,GEO_NAME_CZam_HAiFLO_prop,GEO_NAME_CZam_lumped_prop,GEO_NAME_CZbg_iFLS_prop,GEO_NAME_CZbg_HAiFLS_prop,GEO_NAME_CZbg_iFLO_prop,GEO_NAME_CZbg_HAiFLO_prop,GEO_NAME_CZbg_lumped_prop,GEO_NAME_CZfg_iFLS_prop,GEO_NAME_CZfg_HAiFLS_prop,GEO_NAME_CZfg_iFLO_prop,GEO_NAME_CZfg_HAiFLO_prop,GEO_NAME_CZfg_lumped_prop,GEO_NAME_CZg_iFLS_prop,GEO_NAME_CZg_HAiFLS_prop,GEO_NAME_CZg_iFLO_prop,GEO_NAME_CZg_HAiFLO_prop,GEO_NAME_CZg_lumped_prop,GEO_NAME_CZig_iFLS_prop,GEO_NAME_CZig_HAiFLS_prop,GEO_NAME_CZig_iFLO_prop,GEO_NAME_CZig_HAiFLO_prop,GEO_NAME_CZig_lumped_prop,GEO_NAME_CZlg_iFLS_prop,GEO_NAME_CZlg_HAiFLS_prop,GEO_NAME_CZlg_iFLO_prop,GEO_NAME_CZlg_HAiFLO_prop,GEO_NAME_CZlg_lumped_prop,GEO_NAME_CZve_iFLS_prop,GEO_NAME_CZve_HAiFLS_prop,GEO_NAME_CZve_iFLO_prop,GEO_NAME_CZve_HAiFLO_prop,GEO_NAME_CZve_lumped_prop,GEO_NAME_Km_iFLS_prop,GEO_NAME_Km_HAiFLS_prop,GEO_NAME_Km_iFLO_prop,GEO_NAME_Km_HAiFLO_prop,GEO_NAME_Km_lumped_prop,pontsrc_pontsrc_iFLS_prop,pontsrc_pontsrc_HAiFLS_prop,pontsrc_pontsrc_iFLO_prop,pontsrc_pontsrc_HAiFLO_prop,pontsrc_pontsrc_lumped_prop
6,,3.96804665401246,3.24690039974444,3.96804665401246,2.5680333236981,3.92889440898285,2.67666551327576,2.97220156765475,2.00305854009083,2.00305854009083,1.90436263142951,0.177864566445351,8.26051139831543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428548912685812,0.457317145320178,0.428548912685812,0.392071209341701,0.441860465116279,0.571451087314188,0.542682854679822,0.571451087314188,0.607928790658299,0.558139534883721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,4.85207205292643,4.55647015389848,4.85207205292643,4.21936126387968,4.73411641392527,4.10173567320569,4.12051812259601,2.562536521316,2.562536521316,2.42929311292447,0.384692758321762,10.4374055862427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828476279543221,0.0278244815531975,0.0828476279543221,0.0153530368572013,0.0949367088607595,0.917152372045678,0.972175518446802,0.917152372045678,0.984646963142799,0.905063291139241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,,4.03493847637155,3.89463258683823,4.0501848260397,2.0361711151565,3.97124046256046,2.33525224522926,3.41750323833521,5.06235412510779,1.99012871748219,1.90941316445314,0.0655787885189056,12.6823406219482,0.0584237173698864,0.0496147770086004,0.0442406828041649,0.00281608298282967,0.0622743682310469,0,0,0,0,0,0.0896390227218558,0.107324720791243,0.114873382021999,0.0174690181741264,0.0908543922984356,0.0798808030509288,0.076350226634596,0.0802413009408245,0.253214348423285,0.0812274368231047,0.772056456857329,0.766710275565561,0.760644634233011,0.726500550419759,0.765643802647413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829496610154237,0.874279048019299,0.831884555544389,0.77296196595688,0.83604091456077,0,0,0,0,0,0.170503389845763,0.125720951980701,0.168115444455611,0.22703803404312,0.16395908543923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,,4.15305352597123,3.91820428221422,4.36348578656047,2.41998353159926,4.0916322433729,2.80138205825309,3.69948825091767,6.11256782233042,2.43983942872878,2.34357640007217,0.119345806539059,15.9107961654663,0.179239227314217,0.188279492155348,0.155555720605506,0.0591432202128948,0.178274577242763,0,0,0,0,0,0.0539680462820674,0.0547101107792348,0.0732387745846009,0.00455077960352873,0.058469475494411,0.0902509666277074,0.101366091258331,0.0678856950663462,0.0171069359057824,0.0942963599885354,0.676541759776008,0.655644305807086,0.703319809743547,0.919199064277794,0.668959587274291,0,0,0,0,0,0,0,0,0,0,0.0112290723111225,0.00830844135652028,0.0225548080451241,0.00110305036340854,0.0126110633419318,0.988770927688878,0.99169155864348,0.977445191954876,0.998896949636591,0.987388936658068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,,3.65405860994283,3.45603489788921,3.79680997617888,3.21865796813904,3.58122045638515,3.61495745657632,3.41377336825098,6.12878464243378,2.2969697530489,2.21495707506246,0.0485216230154038,14.5333948135376,0.0946139644619608,0.0904102497390395,0.0808633393702912,0.00471875205928412,0.100689042009335,0,0,0,0,0,0.289891180345815,0.288972076781094,0.268560525741534,0.0639981461704059,0.29362080462325,0.0728536349996573,0.0766223994925232,0.0749708807292506,0.0969280432678525,0.0737941764836631,0.521459081473462,0.522490313420892,0.560299314464186,0.824565947913567,0.511002444987775,0.00753861326014273,0.00358809455559536,0.00508932736069446,0.00889745505202521,0.00666814847743943,0.0136435254589617,0.0179168660108552,0.0102166123340444,0.000891655536865077,0.0142253834185375,0.101150547355255,0.122404257157614,0.169820134636643,0.390363242726259,0.102911758168482,0.0635806365965122,0.0614737322426068,0.0572254768863719,0.00307916816761077,0.0691264725494554,0.835268816048233,0.816122010599779,0.772954388476985,0.60655758910613,0.827961769282063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,4.43854313329702,4.04152537895796,4.43854313329702,3.5227088079189,4.39615604581593,3.57280599558791,3.74040203645313,2.60062823128617,2.60062823128617,2.32066545943891,0.329753130674362,9.18926334381104,0.0641405716759705,0.0280687768733241,0.0641405716759705,0.0169045337226662,0.0863309352517986,0,0,0,0,0,0.659421455426666,0.671873962110157,0.659421455426666,0.802384774447894,0.611510791366906,0.119581891426839,0.15572071981241,0.119581891426839,0.0937834295832282,0.136690647482014,0.156856081470524,0.144336541204109,0.156856081470524,0.0869272622462121,0.165467625899281,0,0,0,0,0,0,0,0,0,0,0.048719397317286,0.0116955746945193,0.048719397317286,0.00704370688191117,0.0431654676258993,0,0,0,0,0,0.951280602682714,0.988304425305481,0.951280602682714,0.992956293118089,0.956834532374101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,,3.75229985714101,3.62299443082927,3.85188974772339,3.40344729232145,3.64837333592586,3.85103475955564,3.40065303248471,3.29526452100484,2.27981404004304,2.17660410146739,0.117151454091072,12.9407024383545,0.25266888124234,0.26929319981091,0.218175236534819,0.0866390265017828,0.266666666666667,0,0,0,0,0,0.303787629568042,0.305962233017917,0.334790215778429,0.225774496493462,0.3125,0.0704343716199533,0.0986958047016904,0.0716126073111504,0.0302995111199162,0.0677083333333333,0.373109117569665,0.326048762469483,0.375421940375602,0.657286965884839,0.353125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,3.54609372115384,3.56516154660723,3.54609372115384,3.46175780504741,3.45911682812791,3.4019536373745,3.11971651647014,1.82950649235911,1.82950649235911,1.73265721959997,0.295760869979858,8.17854499816895,0.760440826094249,0.705785786320895,0.760440826094249,0.796110431685829,0.773684210526316,0,0,0,0,0,0.0396232643684206,0.0157135912818169,0.0396232643684206,0.00636272948981915,0.0421052631578947,0,0,0,0,0,0.19993590953733,0.278500622397288,0.19993590953733,0.197526838824352,0.184210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,,4.44908104859524,3.91646824787599,4.67522813990665,3.77939053400944,4.33351561000906,4.36787122978492,3.75706992666582,4.13169492390734,2.71058297541233,2.59047538103108,0.161591485142708,17.79221534729,0.284606051399759,0.203335156717259,0.291451894663447,0.341184641202591,0.301794453507341,0,0,0,0,0,0.428050114079192,0.532501117887551,0.395970272325968,0.28235032640582,0.423056008700381,0.104049644844003,0.0804018765839257,0.101007796527125,0.0873468263437086,0.099510603588907,0.167107394747771,0.170289464257018,0.199141533444232,0.265976639074018,0.161500815660685,0.0161867949292757,0.0134723845542463,0.0124285030392268,0.0231415669738624,0.0141381185426862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,,4.78509926263517,4.48445021102968,4.78509926263517,3.92993484860154,4.63620978583909,4.26735292840382,4.15936634088486,2.95258520788939,2.95258520788939,2.81570499795077,0.204399153590202,14.9948482513428,0.318639957443613,0.393874382498875,0.318639957443613,0.105496074114929,0.329450915141431,0,0,0,0,0,0.0353652915236165,0.0103082541397725,0.0353652915236165,0.0024957813749265,0.0415973377703827,0.138179777452896,0.11057279227901,0.138179777452896,0.100622354838527,0.138103161397671,0.507814973579875,0.485244571082343,0.507814973579875,0.791385789671618,0.490848585690516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
